Company,Cik,Date,Sentiment_Score
COF,927628,20181231,0.102069681
COF,927628,20191231,0.058139242
COF,927628,20201231,0.021353601
COF,927628,20211231,0.091337973
COG,858470,20141231,-0.068598754
COG,858470,20151231,-0.083191681
COG,858470,20161231,-0.134418468
COG,858470,20171231,-0.06606817
COG,858470,20181231,-0.056405255
COG,858470,20191231,-0.15227349
COG,858470,20201231,-0.177303243
COG,858470,20211231,-0.029193585
COH,1116132,20150627,-0.113875169
COH,1116132,20160702,-0.047140225
COH,1116132,20170701,0.053771738
COH,1116132,20180630,0.091963397
COH,1116132,20190629,0.066610314
COH,1116132,20200627,-0.160055497
COH,1116132,20210703,0.018508614
COL,1137411,20150930,0.207207644
COL,1137411,20160930,0.184528244
COL,1137411,20170930,0.245501955
COL,1137411,20180930,0.268091005
COO,711404,20151031,0.067324656
COO,711404,20161031,0.108420782
COO,711404,20171031,0.17347631
COO,711404,20181031,0.190793982
COO,711404,20191031,0.167776331
COO,711404,20201031,-0.159146266
COO,711404,20211031,0.091657371
COP,1163165,20141231,0.017610094
COP,1163165,20151231,-0.080564446
COP,1163165,20161231,-0.025616892
COP,1163165,20171231,0.098723483
COP,1163165,20181231,0.102079457
COP,1163165,20191231,0.014778145
COP,1163165,20201231,-0.05856641
COP,1163165,20211231,0.184717688
COST,909832,20150830,0.107710888
COST,909832,20160828,0.085215766
COST,909832,20170903,0.230188105
COST,909832,20180902,0.381043868
COST,909832,20190901,0.212340871
COST,909832,20200830,0.356570476
COST,909832,20210829,0.152812198
